,Mean P&L,Std P&L,RMSE,5th pct,1st pct,Skew,Excess kurtosis
"real data, 0bps",0.794640608826547,2.4534087752392897,2.5788889692302335,-4.2525378048921,-7.240677370889998,-1.4195162074608463,2.846657872102385
"real data, 10bps",0.3906721821085083,2.5448039520013004,2.57461684683272,-4.657667614525842,-7.996327290732404,-1.434696302902254,2.853670721139855
"GBM simulation, 0bps",0.0035778166048616535,0.43579375641025636,0.43580844289414566,-0.694452716611902,-1.1349195466163615,-0.16417228199837622,1.9330521798418956
