cost_bps,hedges_per_year,rmse,std_pnl,mean_cost
0.0,2,4.377022312439447,4.376167101091713,0.0
0.0,4,3.2281674075590883,3.228067745255704,0.0
0.0,6,2.7074575062717616,2.707431699800228,0.0
0.0,12,1.956651180233249,1.9565928149087288,0.0
0.0,28,1.2810682339425432,1.2810526072676574,0.0
0.0,53,0.9431510688800149,0.9431254178881617,0.0
0.0,84,0.751336903340026,0.7513287100832328,0.0
0.0,126,0.6174530454107949,0.6174498751664963,0.0
0.0,180,0.5165291750011322,0.5165264434738708,0.0
0.0,252,0.44381062765233464,0.44380791671684366,0.0
0.0,315,0.39898007261299284,0.398980062401016,0.0
0.0,420,0.34238054078872,0.34237891866308806,0.0
0.0,630,0.2791414706863988,0.2791413376757436,0.0
0.0,1260,0.19480758703841058,0.1948069022385986,0.0
5.0,2,4.377993705105588,4.377614016927623,0.028619144442426615
5.0,4,3.230642011956868,3.2306215114735344,0.03637868887545944
5.0,6,2.71078301198486,2.7105992789360402,0.04271663452939834
5.0,12,1.9619469616321312,1.9605595533112048,0.05763963483895268
5.0,28,1.2887079711596936,1.2853344019272679,0.0852460027902095
5.0,53,0.9547937002093916,0.9483661455511284,0.1153227616112443
5.0,84,0.7712049195814522,0.7576485568906257,0.14462889369064896
5.0,126,0.6503183703420964,0.6254684718802749,0.17653748125503038
5.0,180,0.5691037233704056,0.5276897372485282,0.21061983740269583
5.0,252,0.5234507689596717,0.4587653687084756,0.24865507860922217
5.0,315,0.5062995328856765,0.41966953100955856,0.27777269701839613
5.0,420,0.4926388775793135,0.369517805281995,0.3204523941892284
5.0,630,0.5150046735339014,0.32415347923998183,0.3920712011496323
5.0,1260,0.6371698400906404,0.29325500827472945,0.5540471115857445
10.0,2,4.379176402453618,4.379081734466502,0.05723828888485323
10.0,4,3.2336007380582057,3.2332387303768106,0.07275737775091888
10.0,6,2.7149101376867524,2.713875573463729,0.08543326905879668
10.0,12,1.9692608747448346,1.9648030589773913,0.11527926967790536
10.0,28,1.303007136672711,1.2905081455549285,0.170492005580419
10.0,53,0.982651893630508,0.9557972405080188,0.2306455232224886
10.0,84,0.8215675082504822,0.7681389976082481,0.2892577873812979
10.0,126,0.7341385279658477,0.6408849853772215,0.35307496251006076
10.0,180,0.6977062687290815,0.5510615221083728,0.42123967480539165
10.0,252,0.7059998606988374,0.49267556400413004,0.49731015721844435
10.0,315,0.7331053724536296,0.4652680995300227,0.5555453940367923
10.0,420,0.7828311058011161,0.4322630013693123,0.6409047883784568
10.0,630,0.9048258322260931,0.422526429774602,0.7841424022992646
10.0,1260,1.2267062283222145,0.4754251183407734,1.108094223171489
