cost,frequency,Mean P&L,Std P&L,RMSE,5th pct P&L,1st pct P&L,Mean cost,Hedges/yr (actual)
0bps,Monthly,-0.008076172637423256,1.9216425465354878,1.921659517505602,-3.234152875927838,-5.308879403308503,0.0,12.0
0bps,Weekly,0.012373220609485851,0.9544404115761642,0.9545206104835708,-1.5475316087994373,-2.649405818928021,0.0,51.0
0bps,Daily,-0.00021239808548778277,0.4384428296593486,0.43844288110612917,-0.7354662005695177,-1.1482452802950551,0.0,252.0
5bps,Monthly,-0.06619347076121647,1.9252309856324363,1.9263685845680356,-3.2979905102179563,-5.410193140326948,0.05710225972596952,12.0
5bps,Weekly,-0.10197637998723115,0.9599701313421547,0.965371345723693,-1.6851077662244602,-2.8443330936246185,0.11216727584564566,51.0
5bps,Daily,-0.2519834541624904,0.45520267282511134,0.520293315850574,-1.0758730308454958,-1.5385512374868626,0.24682933661470005,252.0
10bps,Monthly,-0.12431076888500953,1.9290915658046617,1.933092712861818,-3.3705198362776834,-5.5128471941149995,0.11420451945193905,12.0
10bps,Weekly,-0.2163259805839481,0.9675772765401156,0.9914649343029708,-1.8380564465853846,-3.015883574427071,0.22433455169129132,51.0
10bps,Daily,-0.5037545102394956,0.4907324917802704,0.7032687857963748,-1.4175091241349875,-1.9241374338867678,0.4936586732294001,252.0
